轮次,判别器损失,生成器对抗损失,生成器特征损失,生成器残差约束损失,生成器总损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
72,-0.013413372265611902,-9.47041674013491,0.00010231732826300517,0.0009596910914061246,-9.469578954908583,0.029922626636646413,0.0016509254404090713,81,27
73,-0.01818705289222208,-10.313309563530815,0.00010698759730008465,0.0009620666667750036,-10.312434479042336,0.03409063080210745,0.0015903577904855073,81,27
74,-0.013432106244619246,-10.86695342593723,9.26259389315318e-05,0.0008410852471435512,-10.866195643389666,0.030345127906328366,0.001691302177524999,81,27
75,-0.01636311537183729,-11.31162166595459,0.00010043166413972224,0.0009449925359890416,-11.31079935144495,0.033143161255636336,0.0016780045748699779,81,27
76,-0.015537215442753133,-10.685649200722024,9.697668967958264e-05,0.0008902562624792119,-10.68485563772696,0.03242752875810788,0.0016890313245649278,81,27
77,-0.014121520459467981,-10.527764391016078,9.363689335899565e-05,0.0008650318378824051,-10.526997990078396,0.03032517138822579,0.0016203650940255618,81,27
78,-0.014318697602936515,-10.42095947265625,9.079128533442229e-05,0.0008478291500877175,-10.42021624247233,0.030702320145971983,0.0016383622538723788,81,27
79,-0.01603463777329451,-10.436811553107368,9.018037949486084e-05,0.0008437111499477867,-10.436073338543927,0.03176307678222656,0.0015728438947131328,81,27
80,-0.016356452322208587,-10.233677722789624,9.52934338042892e-05,0.0008804610546643811,-10.232897758483887,0.032771181177209924,0.0016414728824100974,81,27
81,-0.019721067729003637,-9.613796304773402,9.695914141721678e-05,0.0008436315197118178,-9.613003695452655,0.03604344968442564,0.0016322382007162143,81,27
82,-0.011918115101892638,-9.577196686356157,8.853130296941984e-05,0.0008063622862445536,-9.576472211767125,0.028575496909059125,0.0016657381820101521,81,27
83,-0.018660648266014494,-10.218286196390787,9.477382034809259e-05,0.0008232108407860829,-10.217511494954428,0.03522728107593678,0.0016566632692069736,81,27
84,-0.01598936280258644,-10.434076556452998,9.282463536321841e-05,0.0008360198936080215,-10.433317290412056,0.03206930042784891,0.00160799375993924,81,27
