轮次,判别器损失,生成器损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
200,-17.371587564915785,-64.52930139612269,24.06157453560535,0.66899869379438,81,27
201,-16.92162577311198,-64.90380181206598,23.42058191181701,0.6498956246140563,81,27
202,-17.147535041526513,-64.1622455738209,23.64839129977756,0.6500856169947872,81,27
203,-17.11052476623912,-64.45668623182509,23.61049774546682,0.6499972994680758,81,27
204,-17.094407234662846,-64.4912503560384,23.782700197196302,0.6688293084318255,81,27
205,-16.91730409787025,-63.90983200073242,23.405670636965905,0.6488366561171449,81,27
206,-17.326318799713512,-63.68357481779876,23.772896660698784,0.6446577961798068,81,27
207,-17.314552318902663,-63.95102041739005,23.92702055566105,0.6612468352656306,81,27
208,-16.892122233355487,-62.31152075308341,23.43681307192202,0.6544690816490738,81,27
209,-17.024947731583207,-61.72859601621275,23.511755484121817,0.6486807785652302,81,27
210,-16.471583707832995,-62.059226989746094,22.849398436369718,0.6377814647592144,81,27
211,-16.724495228425955,-60.72857736658167,23.15699188797562,0.6432496526359041,81,27
212,-17.209840421323424,-60.997524120189524,23.632217077561368,0.6422376662124822,81,27
213,-17.369993103875053,-60.35811403062608,24.053058624267578,0.6683065511378241,81,27
214,-17.5713864667916,-59.384686929208264,24.165521692346644,0.6594135211205777,81,27
215,-17.37034809442214,-58.183383800365306,23.938416846004532,0.6568068788375383,81,27
216,-17.842892905812203,-58.18240681401006,24.407108824930074,0.6564216001166238,81,27
217,-17.490164980476287,-56.76225082962601,23.951448322814187,0.6461283340130324,81,27
218,-17.491851606486755,-57.06987550523546,23.986111016921054,0.6494259341263476,81,27
219,-17.431814864829736,-57.29968657316985,23.900023142496746,0.646820815992944,81,27
220,-17.549255900912815,-57.38762142040111,24.208960592010875,0.665970480920356,81,27
221,-17.269526575818475,-56.107979951081454,23.769894023000457,0.6500367459691601,81,27
222,-17.004918616495015,-56.9299887197989,23.276716962272737,0.6271798363254394,81,27
